	ya1_na1	ya1_nd1	ya1_n0	yd1_na1	yd1_nd1	yd1_n0	y0_na1	y0_nd1	y0_n0
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.005
1	0.0	0.0	28.094553085847647	0.0	0.0	0.0	0.0	0.0	-0.005
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.005
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.84157443634136	-0.005
20	23.941449645899933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.005
11	0.0	0.0	0.0	-24.24242424242424	0.0	-7.0236647575135365	-2.28228228228229	0.0	-0.005
3	0.0	0.0	31.099744245524292	0.0	0.0	0.0	0.0	0.0	-0.005
30	0.0	0.0	2.913329823173454	0.0	-9999.0	0.0	0.0	0.0	-0.005
12	0.0	1.7370892018779331	0.0	-21.43790849673202	0.0	0.0	0.0	0.0	-0.005
21	0.0	-9.821428571428573	-0.4166666666666629	0.0	0.0	0.0	0.0	-5.748388636906185	-0.005
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.005
40	-9999.0	0.0	0.0	24.31491617732113	0.0	0.0	-9999.0	0.0	-0.005
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.884057971014488	-0.005
31	-9999.0	-2.871794871794879	-9999.0	-4.371584699453547	-17.838752095498066	-11.130063965884865	-9999.0	-10.198852103988612	-1.5361936289592806
22	-9999.0	0.0	-9999.0	0.0	0.0	0.0	-9999.0	0.4166666666666629	-0.005
